character,frequency,is_variant,filter_layer,reason,modern_equivalents
帀,10,True,1,Unihan variant of {'匝'},匝
柟,10,False,,passed all layers — likely truly disappeared,
籝,9,False,,passed all layers — likely truly disappeared,
脤,9,False,,passed all layers — likely truly disappeared,
麕,9,True,1,Unihan variant of {'麇'},麇
佾,9,False,,passed all layers — likely truly disappeared,
僾,9,False,,passed all layers — likely truly disappeared,
膋,9,False,,passed all layers — likely truly disappeared,
鞵,9,True,1,Unihan variant of {'鞋'},鞋
顚,9,False,,passed all layers — likely truly disappeared,
斒,9,False,,passed all layers — likely truly disappeared,
猒,9,False,,passed all layers — likely truly disappeared,
崟,9,False,,passed all layers — likely truly disappeared,
唅,9,False,,passed all layers — likely truly disappeared,
胏,9,False,,passed all layers — likely truly disappeared,
朶,9,True,1,Unihan variant of {'朵'},朵
廼,9,True,1,Unihan variant of {'乃'},乃
卨,9,False,,passed all layers — likely truly disappeared,
寃,9,True,1,Unihan variant of {'冤'},冤
舡,9,True,1,Unihan variant of {'船'},船
麞,8,True,1,Unihan variant of {'獐'},獐
觝,8,False,,passed all layers — likely truly disappeared,
煑,8,True,1,Unihan variant of {'煮'},煮
雝,8,True,1,Unihan variant of {'簌'},簌
袿,8,False,,passed all layers — likely truly disappeared,
忩,8,False,,passed all layers — likely truly disappeared,
醼,8,False,,passed all layers — likely truly disappeared,
臕,8,False,,passed all layers — likely truly disappeared,
騘,8,False,,passed all layers — likely truly disappeared,
鎁,8,False,,passed all layers — likely truly disappeared,
藋,8,False,,passed all layers — likely truly disappeared,
鬭,8,False,,passed all layers — likely truly disappeared,
潄,8,False,,passed all layers — likely truly disappeared,
稂,8,False,,passed all layers — likely truly disappeared,
黳,8,False,,passed all layers — likely truly disappeared,
醻,8,True,1,Unihan variant of {'酬'},酬
粃,8,True,1,Unihan variant of {'秕'},秕
隲,8,False,,passed all layers — likely truly disappeared,
歕,8,False,,passed all layers — likely truly disappeared,
稉,8,True,1,Unihan variant of {'粳'},粳
罣,8,False,,passed all layers — likely truly disappeared,
丿,8,False,,passed all layers — likely truly disappeared,
薫,8,False,,passed all layers — likely truly disappeared,
徃,8,True,1,Unihan variant of {'往'},往
炅,8,False,,passed all layers — likely truly disappeared,
褵,7,False,,passed all layers — likely truly disappeared,
睚,7,False,,passed all layers — likely truly disappeared,
锽,7,False,,passed all layers — likely truly disappeared,
虀,7,False,,passed all layers — likely truly disappeared,
瑇,7,True,1,Unihan variant of {'玳'},玳
簳,7,False,,passed all layers — likely truly disappeared,
颿,7,True,1,Unihan variant of {'帆'},帆
倅,7,False,,passed all layers — likely truly disappeared,
犇,7,True,1,Unihan variant of {'奔'},奔
焘,7,False,,passed all layers — likely truly disappeared,
恠,7,True,1,Unihan variant of {'怪'},怪
樐,7,False,,passed all layers — likely truly disappeared,
艹,7,True,1,Unihan variant of {'草'},草
硾,7,False,,passed all layers — likely truly disappeared,
剏,7,False,,passed all layers — likely truly disappeared,
擕,7,False,,passed all layers — likely truly disappeared,
挍,7,False,,passed all layers — likely truly disappeared,
頟,6,False,,passed all layers — likely truly disappeared,
樝,6,False,,passed all layers — likely truly disappeared,
罛,6,False,,passed all layers — likely truly disappeared,
敭,6,False,,passed all layers — likely truly disappeared,
箙,6,False,,passed all layers — likely truly disappeared,
驸,6,False,,passed all layers — likely truly disappeared,
谌,6,False,,passed all layers — likely truly disappeared,
勦,6,False,,passed all layers — likely truly disappeared,
儵,6,False,,passed all layers — likely truly disappeared,
漴,6,False,,passed all layers — likely truly disappeared,
渼,6,False,,passed all layers — likely truly disappeared,
刦,6,True,1,Unihan variant of {'劫'},劫
茘,6,False,,passed all layers — likely truly disappeared,
鶂,6,False,,passed all layers — likely truly disappeared,
宂,6,True,1,Unihan variant of {'冗'},冗
鑛,6,False,,passed all layers — likely truly disappeared,
韡,6,False,,passed all layers — likely truly disappeared,
蠒,6,False,,passed all layers — likely truly disappeared,
鬉,6,False,,passed all layers — likely truly disappeared,
儛,6,False,,passed all layers — likely truly disappeared,
醭,6,False,,passed all layers — likely truly disappeared,
蕋,6,True,1,Unihan variant of {'蕊'},蕊
艛,6,False,,passed all layers — likely truly disappeared,
磎,6,False,,passed all layers — likely truly disappeared,
囓,6,False,,passed all layers — likely truly disappeared,
諵,6,True,1,Unihan variant of {'喃'},喃
玢,6,False,,passed all layers — likely truly disappeared,
敺,6,False,,passed all layers — likely truly disappeared,
踡,6,False,,passed all layers — likely truly disappeared,
嘷,6,True,1,Unihan variant of {'嗥'},嗥
慽,6,False,,passed all layers — likely truly disappeared,
塠,6,False,,passed all layers — likely truly disappeared,
繖,6,False,,passed all layers — likely truly disappeared,
逓,6,False,,passed all layers — likely truly disappeared,
卭,6,False,,passed all layers — likely truly disappeared,
躩,6,False,,passed all layers — likely truly disappeared,
邽,6,False,,passed all layers — likely truly disappeared,
竃,6,False,,passed all layers — likely truly disappeared,
旍,6,False,,passed all layers — likely truly disappeared,
栲,6,False,,passed all layers — likely truly disappeared,
趚,6,False,,passed all layers — likely truly disappeared,
崐,6,False,,passed all layers — likely truly disappeared,
慿,6,False,,passed all layers — likely truly disappeared,
皷,6,True,1,Unihan variant of {'鼓'},鼓
鱍,6,False,,passed all layers — likely truly disappeared,
傚,6,False,,passed all layers — likely truly disappeared,
嶰,6,False,,passed all layers — likely truly disappeared,
甪,6,False,,passed all layers — likely truly disappeared,
崷,6,False,,passed all layers — likely truly disappeared,
濇,6,False,,passed all layers — likely truly disappeared,
胗,6,True,1,Unihan variant of {'疹'},疹
偲,5,False,,passed all layers — likely truly disappeared,
岨,5,False,,passed all layers — likely truly disappeared,
艸,5,True,1,Unihan variant of {'草'},草
衹,5,True,1,Unihan variant of {'只'},只
囋,5,False,,passed all layers — likely truly disappeared,
獯,5,False,,passed all layers — likely truly disappeared,
溠,5,False,,passed all layers — likely truly disappeared,
褧,5,False,,passed all layers — likely truly disappeared,
秬,5,False,,passed all layers — likely truly disappeared,
藳,5,False,,passed all layers — likely truly disappeared,
譍,5,False,,passed all layers — likely truly disappeared,
躶,5,True,1,Unihan variant of {'裸'},裸
酧,5,True,1,Unihan variant of {'酬'},酬
兖,5,False,,passed all layers — likely truly disappeared,
韲,5,False,,passed all layers — likely truly disappeared,
繍,5,False,,passed all layers — likely truly disappeared,
痺,5,True,1,Unihan variant of {'痹'},痹
俣,5,False,,passed all layers — likely truly disappeared,
攂,5,False,,passed all layers — likely truly disappeared,
翙,5,False,,passed all layers — likely truly disappeared,
嫜,5,False,,passed all layers — likely truly disappeared,
賷,5,False,,passed all layers — likely truly disappeared,
葓,5,False,,passed all layers — likely truly disappeared,
吚,5,True,1,Unihan variant of {'咿'},咿
涷,5,False,,passed all layers — likely truly disappeared,
嚵,5,False,,passed all layers — likely truly disappeared,
蔾,5,True,1,Unihan variant of {'藜'},藜
爟,5,False,,passed all layers — likely truly disappeared,
姡,5,False,,passed all layers — likely truly disappeared,
噇,5,False,,passed all layers — likely truly disappeared,
鬇,5,False,,passed all layers — likely truly disappeared,
鬡,5,False,,passed all layers — likely truly disappeared,
幈,5,False,,passed all layers — likely truly disappeared,
闚,5,False,,passed all layers — likely truly disappeared,
靫,5,False,,passed all layers — likely truly disappeared,
觿,5,False,,passed all layers — likely truly disappeared,
搒,5,False,,passed all layers — likely truly disappeared,
匄,5,False,,passed all layers — likely truly disappeared,
蠚,5,False,,passed all layers — likely truly disappeared,
絚,5,False,,passed all layers — likely truly disappeared,
葶,5,False,,passed all layers — likely truly disappeared,
苽,5,False,,passed all layers — likely truly disappeared,
钐,5,False,,passed all layers — likely truly disappeared,
裩,5,False,,passed all layers — likely truly disappeared,
栧,5,False,,passed all layers — likely truly disappeared,
钑,5,False,,passed all layers — likely truly disappeared,
澂,5,False,,passed all layers — likely truly disappeared,
猃,5,False,,passed all layers — likely truly disappeared,
泙,5,False,,passed all layers — likely truly disappeared,
鼃,5,True,1,Unihan variant of {'蛙'},蛙
悛,5,False,,passed all layers — likely truly disappeared,
桹,5,False,,passed all layers — likely truly disappeared,
糢,5,False,,passed all layers — likely truly disappeared,
猢,5,False,,passed all layers — likely truly disappeared,
嬝,5,False,,passed all layers — likely truly disappeared,
祎,5,False,,passed all layers — likely truly disappeared,
欝,5,False,,passed all layers — likely truly disappeared,
砆,5,False,,passed all layers — likely truly disappeared,
簁,5,False,,passed all layers — likely truly disappeared,
捃,5,False,,passed all layers — likely truly disappeared,
箎,5,True,1,Unihan variant of {'篪'},篪
阬,5,True,1,Unihan variant of {'坑'},坑
潓,5,False,,passed all layers — likely truly disappeared,
鳸,4,False,,passed all layers — likely truly disappeared,
騐,4,False,,passed all layers — likely truly disappeared,
簉,4,False,,passed all layers — likely truly disappeared,
薾,4,False,,passed all layers — likely truly disappeared,
叡,4,True,1,Unihan variant of {'睿'},睿
禗,4,False,,passed all layers — likely truly disappeared,
竁,4,False,,passed all layers — likely truly disappeared,
謩,4,False,,passed all layers — likely truly disappeared,
鼗,4,False,,passed all layers — likely truly disappeared,
筓,4,False,,passed all layers — likely truly disappeared,
搨,4,False,,passed all layers — likely truly disappeared,
缏,4,False,,passed all layers — likely truly disappeared,
鱏,4,False,,passed all layers — likely truly disappeared,
蔲,4,False,,passed all layers — likely truly disappeared,
厫,4,False,,passed all layers — likely truly disappeared,
眽,4,False,,passed all layers — likely truly disappeared,
翶,4,False,,passed all layers — likely truly disappeared,
兟,4,False,,passed all layers — likely truly disappeared,
絣,4,False,,passed all layers — likely truly disappeared,
嫮,4,False,,passed all layers — likely truly disappeared,
餻,4,True,1,Unihan variant of {'糕'},糕
祔,4,False,,passed all layers — likely truly disappeared,
鷕,4,False,,passed all layers — likely truly disappeared,
齚,4,False,,passed all layers — likely truly disappeared,
蝱,4,False,,passed all layers — likely truly disappeared,
屭,4,False,,passed all layers — likely truly disappeared,
擭,4,False,,passed all layers — likely truly disappeared,
弝,4,False,,passed all layers — likely truly disappeared,
瓘,4,False,,passed all layers — likely truly disappeared,
